Project Name,Postal Code
# 1 LOFT,['398614']
# 1 SUITES,['398721']
1 KING ALBERT PARK,['598326']
1 MOULMEIN RISE,['308143']
10 EVELYN,['309312']
10 SHELFORD,['288353']
11 AMBER ROAD,['439857']
120 GRANGE,['249600']
16 @ AMBER,['439866']
18 SHELFORD,['288407']
18 WOODSVILLE,['357799']
183 LONGHAUS,['574429']
19 NASSIM,['258482']
1919,['228175']
1953,['217701']
2 RVG,['238405']
21 RICHARDS,['546430']
24 ONE RESIDENCES,['118596']
26 NEWTON,['307957']
28 IMPERIAL RESIDENCES,['398495']
28 RC SUITES,['218746']
28 SHELFORD,['288422']
283 STUDIO,['238324']
3 CUSCADEN,['249690']
33 RESIDENCES,['398366']
336 RIVER VALLEY,['238366']
35 GILSTEAD,['309079']
368 THOMSON,['298127']
38 I SUITES,['438646']
38 JERVOIS,['249078']
3@PHILLIPS,['546920']
3@SANDILANDS,['546066']
448@EAST COAST,['429021']
57 @ KOVAN,['548147']
6 DERBYSHIRE,['309462']
70@TRURO,['217618']
76 SHENTON,['79119']
77 @ EAST COAST,['455218']
8 @ MOUNT SOPHIA,"['228459', '228462', '228457', '228463']"
8 BASSEIN,['309838']
8 EDEN GROVE,['539060']
8 FARRER SUITES,['217820']
8 HULLET,['229160']
8 RAJA,['329217']
8 RODYK,['238216']
8 SAINT THOMAS,"['238102', '238146']"
833 M B RESIDENCES,['437826']
8@WOODLEIGH,"['357900', '357902', '357903']"
8M RESIDENCES,['438049']
91 MARSHALL,['424887']
A TREASURE TROVE,"['828830', '828831', '828832', '828833', '828779', '828780', '828781', '828782', '828783', '828784', '828785', '828786', '828787', '828788']"
AALTO,"['437980', '437981']"
ADAM PARK CONDOMINIUM,"['289895', '289900', '289901', '289902']"
ADAM PLACE,"['289882', '289883', '289884']"
ADANA @ THOMSON,"['573869', '573870', '573868']"
ADIS VILLAS,['229976']
ADRIA,['309466']
ADVANCE APARTMENTS,['388222']
AFFINITY AT SERANGOON,"['554336', '554337', '554338', '554339', '554340', '554341', '554342']"
AFFLUENCE COURT,['539960']
AIRSTREAM,['327994']
ALDEA BLANCA,"['466515', '466516', '466518', '466519']"
ALEGRIA,['307669']
ALESSANDREA,['159967']
ALEX RESIDENCES,['158744']
ALEXANDRA CENTRE,['159949']
ALEXIS,['159949']
ALLSWORTH PARK,"['278639', '278640']"
ALPHA APARTMENTS,['427037']
ALTEZ,['79717']
AMANINDA,"['307674', '307686', '307687']"
AMARANDA GARDENS,"['554773', '554774', '554775']"
AMARYLLIS VILLE,"['307953', '307990']"
AMBER 45,['439886']
AMBER LODGE,['439888']
AMBER PARK,"['439961', '439980', '439981']"
AMBER PARK (DEMOLISHED),"['439960', '439961']"
AMBER POINT,['439845']
AMBER RESIDENCES,['439888']
AMBER SKYE,['439853']
AMBER TOWERS,['439852']
AMBERGLADES,"['439964', '439965']"
AMBERVILLE,['449267']
AMO RESIDENCE,"['569417', '569418']"
AMPAS APARTMENTS,['329506']
ANCHOR GARDENS,"['466486', '466488', '466490', '466492']"
ANDERSON 18,['259977']
ANDERSON HOUSE,['259984']
ANGULLIA PARK RESIDENCES @ ORCHARD,['249696']
AO JIANG APARTMENTS,['358458']
APARTMENT 8,['358461']
APLETON VIEW,['308323']
APOLLO GARDENS,"['486993', '486995', '486996', '486998', '486999', '487001', '487003', '487004', '487006', '487010', '487011', '487013', '487015', '487016', '487020', '487023', '487025', '487026', '487028', '487030']"
AQUARINE GARDENS,['455225']
AQUARIUS BY THE PARK,"['478931', '478932', '478933', '478934', '478935', '478936', '478927', '478928', '478929', '478930']"
AQUENE,['426341']
ARCHIPELAGO,"['479267', '479268', '479269', '479270', '479271', '479272', '479273', '479274', '479275', '479276', '479277', '479278', '479279', '479280', '479281', '479282', '479283', '479284']"
ARDMORE POINT,['259945']
ARENA RESIDENCES,['399915']
AROOZOO CENTRE,['539796']
ARTHUR 118,['439827']
ARTHUR MANSIONS,['439829']
ARTRA,['158745']
ASCENT @ 456,['329832']
ASCENTIA SKY,"['158748', '158749']"
ASIA GARDENS,['89394']
ASIMONT @ BARKER,"['309950', '309946', '309948']"
ASPEN HEIGHTS,"['238307', '238309']"
ASPEN LINQ,['239669']
ASPEN LOFT,['427317']
ASTON LODGE,['399116']
ASTON MANSIONS,"['398026', '398028']"
ASTOR,['417660']
ASTOR GREEN,"['597590', '597591', '597592']"
ASTORIA PARK,"['416883', '416826', '416827', '416828']"
ASTRID MEADOWS,"['269257', '269258', '269259', '269262', '269263', '269264', '269265', '269266', '269269']"
ASTRIDVILLE,"['268616', '268618', '268620', '268622', '268624']"
ATLASSIA,['427764']
ATRIUM RESIDENCES,"['398406', '398416', '398419', '398408', '398410', '398412', '398414']"
ATTITUDE AT KIM YAM,['239319']
AURA 83,['429247']
AURA PARK,['258859']
AURALIS,"['423423', '429081']"
AUSTRAL VIEW,['436883']
AUTUMN GLORY,"['437360', '437361']"
AUTUMN TEN MANSIONS,['439192']
AVA TOWERS,['329949']
AVALON,"['259985', '259986']"
AVANT RESIDENCES,['389799']
AVENUE SOUTH RESIDENCE,"['168872', '168877', '168878', '168873', '168874', '168875', '168876']"
AVILA GARDENS,"['509732', '509733', '509734', '509735', '509736', '509737']"
AVON PARK,['357741']
AXIS @ SIGLAP,['458950']
AZALEA PARK CONDOMINIUM,"['509729', '509730', '509731', '509726', '509727', '509728']"
BAGNALL COURT,"['466609', '466615', '466617', '466618', '466621']"
BALCON EAST,['466519']
BALESTIER 288,['329731']
BALESTIER COMPLEX,['329714']
BALESTIER PLAZA,['329802']
BALESTIER POINT,['329727']
BALESTIER REGENCY,['329505']
BALESTIER TOWERS,['329683']
BALLOTA PARK CONDOMINIUM,"['507079', '507080', '507081', '507082', '507083', '507084', '507085', '507086']"
BALMORAL 8,['259792']
BALMORAL CONDOMINIUM,['259802']
BALMORAL CREST,['259882']
BALMORAL GATE,['259811']
BALMORAL GROVE,['259804']
BALMORAL HEIGHTS,['259928']
BALMORAL HILLS,"['259845', '259844']"
BALMORAL PLAZA,['259708']
BALMORAL POINT,['259806']
BALMORAL RESIDENCES,"['259905', '259910']"
BALMORAL TOWER,['259808']
BALMY COURT,['388105']
BANYAN CONDOMINIUM,"['119744', '119745', '119749']"
BAODE BUILDING,['387940']
BARTLEY COURT,['539763']
BARTLEY GROVE,"['539765', '539767', '539769', '539770', '539764']"
BARTLEY RESIDENCES,"['536558', '536559', '536560', '536561', '536562', '536563', '536564', '536565']"
BARTLEY RIDGE,"['368055', '368056', '368057', '368058', '368059', '368060', '368061', '368062', '368063']"
BARTLEY TERRACE,['538976']
BARTLEY VUE,"['538310', '538311']"
BASSEIN COURT,['309836']
BAYOU RESIDENCE,['534957']
BAYSHORE PARK,"['469977', '469978', '469981', '469982', '469983', '469984', '469985']"
BAYVILLE CONDOMINIUM,['118166']
BAYWATER,"['479243', '479240', '479241', '479242']"
BAYWIND RESIDENCES,['425248']
BEACON HEIGHTS,['328689']
BEAUTY WORLD CENTRE,['588177']
BEAUTY WORLD PLAZA,['588176']
BEAVERTON COURT,['276958']
BEDOK COURT,"['469296', '469297', '469298']"
BEDOK RESIDENCES,"['465494', '465495', '465496', '465497', '465498', '465499', '465500', '465501']"
BELLA CASITA,['438610']
BELLA VISTA,['358227']
BELLE VUE,"['238593', '238594']"
BELLE VUE RESIDENCES,['238590']
BELLERIVE,['258711']
BELLEZZA @ KATONG,['429634']
BELMOND GREEN,"['259801', '259816', '259817', '259818', '259819']"
BELMONDO VIEW,['328369']
BENDIGO GARDENS,['427048']
BERKELEY RESIDENCES,['425141']
BETA GROVE,"['425891', '425901']"
BEVERLY MAI,['247855']
BIJOU,['119554']
BIRCHWOOD MANSIONS,['329504']
BIRMINGHAM MANSIONS,['307682']
BISHAN 8,"['574044', '574045']"
BISHAN PARK CONDOMINIUM,"['575568', '575569', '575570', '575571', '575572']"
BISHAN POINT,['579653']
BLEU @ EAST COAST,"['466580', '466581']"
BLISS LOFT,['328933']
BLISS REGALIA,['217920']
BLISS RESIDENCES,['418942']
BLISS VILLE,['417030']
BLISS@KOVAN,"['546053', '546018', '546019', '546055', '546056', '546057']"
BLOSSOM MANSIONS,['387903']
BLOSSOM VIEW,['398498']
BLOSSOMS @ WOODLEIGH,"['357905', '357907']"
BLOSSOMS BY THE PARK,['139742']
BLU CORAL,"['425562', '425602', '425565', '425603']"
BLUE HORIZON,"['128045', '128046', '128047', '128048', '128049']"
BLUWATERS,"['509439', '506962', '506961']"
BLUWATERS 2,['509456']
BOATHOUSE RESIDENCES,"['534047', '534046', '534045', '534044', '534043', '534042']"
BOON COURT,"['423992', '423995', '423996', '423998', '423999']"
BOON TECK APARTMENTS,['329609']
BOON TECK HEIGHTS,['329602']
BOON TECK LODGE,['329610']
BOON TECK TOWER,['329608']
BOONVIEW,['574036']
BOTANIKA,['258853']
BOTANIQUE AT BARTLEY,"['533875', '533874', '533873', '533872', '533871', '533870', '533869', '533868', '533867']"
BOTANNIA,"['127720', '127721', '127722', '127647', '127723', '127724', '127649', '127725', '127726', '127651', '127727']"
BOUGAINVILLA APARTMENTS,"['388492', '388493']"
BOUGAINVILLA COURT,['425993']
BOWMONT CENTRE,['456192']
BRADDELL PARK,"['359136', '359137', '359140', '359141', '359142', '359145', '359146', '359147', '359148']"
BRADDELL REGALIA,['359946']
BRADDELL VIEW,"['579720', '579721', '579722', '579723', '579724', '579725', '579726', '579727', '579728', '579729', '579730', '579731', '579732', '579733', '579734', '579735']"
BREEZE BY THE EAST,"['465520', '465521', '466452', '465884', '466455', '465523', '465522']"
BREEZY MANSIONS,['546079']
BRIGHT BUILDING,['329185']
BRIGHTON VIEW,"['559258', '559265']"
BRIGHTVIEW APARTMENTS,['398495']
BRISTOL LODGE,"['219855', '219856']"
BROOKVALE PARK,"['599968', '599952', '599969', '599953', '599970', '599954', '599971', '599972']"
BUCKLEY 18,['309776']
BUCKLEY CLASSIQUE,['309767']
BUCKLEY RESIDENCE,['309762']
BUKIT 828,['678155']
BUKIT REGENCY,"['588132', '588137', '588133', '588134', '588135', '588136']"
BULLION PARK,"['789094', '789095', '789096', '789097', '789098', '789099']"
BUONA LODGE,['117686']
BUONA VISTA GARDENS,"['117687', '117688']"
BURLINGTON SQUARE,['189651']
BUTTERWORTH 33,['439442']
BUTTERWORTH 8,"['439445', '439422', '439423']"
BUTTERWORTH VIEW,['439431']
CADENCE LIGHT,['423833']
CAI GARDEN,['419679']
CAI YUAN MANSIONS,['329422']
CAIRNHILL 16,['229744']
CAIRNHILL ASTORIA,"['229741', '229742']"
CAIRNHILL CREST,"['229811', '229813', '229814']"
CAIRNHILL GARDENS,['229952']
CAIRNHILL HEIGHTS,['229744']
CAIRNHILL NINE,['229723']
CAIRNHILL PLAZA,"['229664', '229666']"
CAIRNHILL RESIDENCES,"['229774', '229775']"
CALARASI,['328882']
CALIN MANSIONS,['387987']
CALISAY,['534981']
CALLIDORA VILLE,['425145']
CAMAY COURT,"['425364', '425372', '425379', '425386']"
CAMBIO SUITES,['547791']
CAMBRIDGE VILLAGE,['219679']
CAMELLIA LODGE,['388030']
CAMELODGE,"['455296', '455297', '455298', '455006']"
CAMELOT BY-THE-WATER,"['436928', '436929']"
CANARY VILLE,"['423484', '425971']"
CANBERLIN APARTMENTS,['398887']
CANBERLIN LODGE,['399221']
CANBERRA RESIDENCES,"['768124', '768125', '768126', '768127', '768128', '768129', '768130', '768131', '768132', '768133', '768134', '768135', '768136']"
CANDEVILLE,['425316']
CANNAVILLE,"['429192', '429194', '429196', '429198', '429199', '429201']"
CANNE LODGE,['388869']
CANNINGHILL PIERS,"['179882', '179884']"
CANTIZ @ RAMBAI,['424340']
CARABELLE,"['127015', '127016', '127017', '127018', '127019', '127020', '127021', '127022']"
CARDIFF COURT,"['558961', '558962']"
CARDIFF RESIDENCE,"['558961', '558962']"
CARIBBEAN AT KEPPEL BAY,"['98640', '98641', '98642', '98643', '98644', '98645', '98646', '98647', '98648', '98650', '98651', '98652', '98653', '98654', '98637', '98655', '98656', '98657', '98635', '98638', '98639']"
CARISSA PARK CONDOMINIUM,"['507025', '507026', '507027']"
CARLISLE COURT,"['219599', '219601']"
CARLYX GREEN,['219606']
CARLYX RESIDENCE,['219604']
CARMI MANSIONS,['387991']
CARPMAEL THIRTY-EIGHT,['429781']
CASA AERATA,['398484']
CASA AL MARE,['506930']
CASA AROMA,['429433']
CASA CAIRNHILL,['228305']
CASA CAMBIO,"['547803', '547726']"
CASA EMERALD,['398311']
CASA ESPANIA,"['538977', '538978']"
CASA ESPERANZA,"['589632', '589633']"
CASA FELIZ,['427024']
CASA FLORA,"['467169', '467171']"
CASA FORTUNA,"['329980', '329981']"
CASA IRRAWADDY,['329557']
CASA MERAH,"['465524', '465525', '465526', '465527', '465529', '465530', '465531', '465532', '465533', '465534', '465535', '465536']"
CASA MEYA,['358464']
CASA MEYFORT,['437906']
CASA NASSAU,"['466477', '466478']"
CASA NOVACREST,['228313']
CASA PASIR RIS,['509506']
CASA RIVIERA,['547802']
CASA ROSA,"['536443', '536445']"
CASA ROSITA,"['259704', '259706', '259707']"
CASA SARINA,"['416729', '416730']"
CASA SOPHIA,['228170']
CASABELLA,"['269187', '269188', '269189', '269190', '269191', '269192', '266323', '266324', '266329', '266331', '266335', '266336', '266338']"
CASABLANCA,"['737917', '737918', '737919', '737920', '737921', '737922']"
CASAFINA,"['469336', '469337', '469338']"
CASCADALE,"['486858', '486860', '486862']"
CASCATA,['416378']
CASERO @ DUNMAN,['439192']
CASHEW HEIGHTS CONDOMINIUM,"['679672', '679674', '679656', '679658', '679660', '679662', '679664', '679666', '679668', '679670']"
CASHEW PARK CONDOMINIUM,"['679633', '679635', '679637', '679639', '679641', '679644', '679645', '679646']"
CASPIAN,"['648315', '648316', '648317', '648318', '648319', '648320']"
CASSIA EDGE,['399764']
CASSIA VIEW,['399746']
CASTLE GREEN,"['787056', '787057', '787058', '787059']"
CASTLE LOFT,['425770']
CASUARINA COVE,"['436904', '436915', '436916']"
CAVAN SUITES,['209848']
CAVENDISH PARK,"['597593', '597594', '597595']"
CELADON VIEW,['507029']
